as_of,code,shape,image_sha256
2026-09-03,1942,調整,42d82f851bd422d5dadaa4cc83816fc8ee2efc9892f1cb8690a14b786495c3b2
2026-09-03,1944,調整,12a89bdda3ea1e3989e097168554665194a0ae96ef2dd368eb70b2df287f3f9a
2026-09-03,1959,下落,d7b2a57973b9003968cef5cd54ab5d14f1af883de23650c0812fa3a6ff40b4af
2026-09-03,1969,調整,3d807757145aeda24206a5800c67fd55ddcb00d9f82a77c052719e7331364585
2026-09-03,4440,急上昇,182995c1397301bc2287d4e601ceb5d1b58bd51ff7f6a364285e30dec4f38fff
2026-09-03,4707,もみ合い,c8744464e01e877e1e185d53164f2cfeac83c3523cc2880edf1590fbe6d879ea
2026-09-03,5137,リバウンド,29fc7296cec0abca3d197824c7975d5b00566629e33e0fa54695967c5f3c2f80
2026-09-03,5243,リバウンド,fc56fde8ba42f28c5bdfa130401379bf16a72076221bcb66af7604e409e37a24
2026-09-03,6027,急上昇,27e5aca12a89dc22283f5bf042f7c37a83254989f225a66313f9c35e0385544f
2026-09-03,6508,上昇,f542547412283ac0ce5db224b54b8bae6403ddd032726bc533c7d9511904e46f
2026-09-03,6570,急上昇,b1f49ca2cf75c8698144e0995a32d791e2b9199f17883cd54e59ed0d2d8d728d
2026-09-03,6622,調整,fe85ecc3a32478edded193de23aeab0eedf32f396f649caca98d5cf9a8d1177e
2026-09-03,6647,急上昇,5e9f807b2e4756c2b393818ab9558f9e442b265a323af9565944e616f452af4f
2026-09-03,6904,急上昇,068288aa8b7c91896ba02faf1eb0bec4f2a0fc35db077cc24b5c00bac5f2b784
2026-09-03,7093,リバウンド,b1b9c3f84a3ac1609b152f391c90a88771c87868f456a9053495bdda555cd544
2026-09-03,9344,急上昇,f49f2a07b24b104f2e48dad03d0462d9facc0d7e5eb132cee95df9fce4d5f81e
2026-09-10,1942,調整,4ac8e25dae662f35fb1dbcd7b75cd9a3cd5feb2b7edbbc5af6247f5caaaa62ae
2026-09-10,1944,調整,0e4906c64156413bd45c1284a0f85d0d9820167d51fccb59a9b0285aebf16e76
2026-09-10,1959,調整,c4603b79e25a10f71d1d650a7e2850e6a863ff43f962dfa331bbb752252ad815
2026-09-10,1969,調整,5699e7394a2c058d6dbd279dbe851ca16a5e4e2d9eba928334b167cca44e0ff2
2026-09-10,4440,急上昇,7168dbc35148c5ae7f9ebdc76e1eae91ed455cb932c3e3343abdbee5c45151ad
2026-09-10,4707,上昇,d0533339312b83e01235b39de8f3a149dc4dcbe0a4c0860ba6b82064613f9793
2026-09-10,5137,リバウンド,6fa3169d5c1222f775cc8e716b3f60a09e68d393a09b4e11f9aef527192fea86
2026-09-10,5243,リバウンド,76be03bf6b425eb8cd7d4d9f260b959d50c33e48022a9e44329e08d00b6e1fe5
2026-09-10,6027,急上昇,b47bd5c147aa7b70a8898a78cd4f82286d1734194e45d78cef34b134cc4002b2
2026-09-10,6508,上昇,6716a924afd48abef1b9c7533be594745495b780231317fb524ddcbc66dec53e
2026-09-10,6570,急上昇,3a340f76ce674360caa95450fe77dafcdab015a0888e4208db195b4abca49d64
2026-09-10,6622,調整,7b156a736143dcc23acffbc37e07cd3f1ce268fab554d424ce8897f10fb9c755
2026-09-10,6647,急上昇,52ade8babb6da0ca327873d909d0f3e3ec0df90c849c0469ae73dcb4a9213892
2026-09-10,6904,急上昇,09ff2bcff430a9cc1bb73374c5d6b3e277ba44a3d1d3ee1e85d5c6b3b7057ca7
2026-09-10,7093,リバウンド,a9759ca04f86cd15b4c89618a898efffa9bbe92c531343720880af10180e2840
2026-09-10,9344,急上昇,4dbb5c5a55c85b682f21e764e0e2ab2eeccb81d891f5b007313739d28d2499da
