date,code,metric,value,value_extracted,unit,definition,assumed,source,tier,status,source_url,fetched_at
2026-05-15,4073,eps,-38.96,-38.96,JPY,FY2026Q3cum|単体|日本基準|1株当たり四半期純利益,false,tanshin,primary,EPS_CROSS_OK|YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,eps_fy_plan,21.57,21.57,JPY,FY2026Q4cum|単体|日本基準|1株当たり当期純利益(会社予想),false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,eps_prev_year,-66.74,-66.74,JPY,FY2025Q3cum|単体|日本基準|1株当たり四半期純利益,false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,equity_ratio,9.9,9.9,pct,FY2026Q3cum|単体|日本基準|自己資本比率,false,tanshin,primary,EQUITY_CROSS_OK,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,equity_ratio_prev_fy,13.5,13.5,pct,FY2025Q4cum|単体|日本基準|自己資本比率,false,tanshin,primary,EQUITY_CROSS_OK,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,net_assets,185,185,JPY_million,FY2026Q3cum|単体|日本基準|純資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,net_assets_prev_fy,270,270,JPY_million,FY2025Q4cum|単体|日本基準|純資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,net_income,-98,-98,JPY_million,FY2026Q3cum|単体|日本基準|四半期純利益,false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,net_income_fy_plan,54,54,JPY_million,FY2026Q4cum|単体|日本基準|当期純利益(会社予想),false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,net_income_prev_year,-167,-167,JPY_million,FY2025Q3cum|単体|日本基準|四半期純利益,false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,operating_income,-78,-78,JPY_million,FY2026Q3cum|単体|日本基準|営業利益,false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,operating_income_fy_plan,92,92,JPY_million,FY2026Q4cum|単体|日本基準|営業利益(会社予想),false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,operating_income_prev_year,-141,-141,JPY_million,FY2025Q3cum|単体|日本基準|営業利益,false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,ordinary_income,-98,-98,JPY_million,FY2026Q3cum|単体|日本基準|経常利益,false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,ordinary_income_fy_plan,55,55,JPY_million,FY2026Q4cum|単体|日本基準|経常利益(会社予想),false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,ordinary_income_prev_year,-161,-161,JPY_million,FY2025Q3cum|単体|日本基準|経常利益,false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,revenue,1493,1493,JPY_million,FY2026Q3cum|単体|日本基準|売上高,false,tanshin,primary,OK,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,revenue_fy_plan,2403,2403,JPY_million,FY2026Q4cum|単体|日本基準|売上高(会社予想),false,tanshin,primary,YOY_CHECK_NA,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,revenue_prev_year,1279,1279,JPY_million,FY2025Q3cum|単体|日本基準|売上高,false,tanshin,primary,OK,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,total_assets,1870,1870,JPY_million,FY2026Q3cum|単体|日本基準|総資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
2026-05-15,4073,total_assets_prev_fy,2004,2004,JPY_million,FY2025Q4cum|単体|日本基準|総資産,false,tanshin,primary,NOT_CROSS_CHECKED,https://www.nikkei.com/markets/ir/irftp/data/tdnr/tdnetg3/20260515/fxfcrw/140120260515536364.pdf,2026-08-13T11:32:30+09:00
